"zip","type","primary_city","state","county","latitude","longitude","population"
"78045","STANDARD","Laredo","TX","Webb County",27.53,-99.48,47939
"78046","STANDARD","Laredo","TX","Webb County",27.53,-99.48,50217
"78052","STANDARD","Lytle","TX","Atascosa County",29.23,-98.79,6320
"78055","STANDARD","Medina","TX","Bandera County",29.8,-99.25,1423
"78056","STANDARD","Mico","TX","Medina County",29.53,-98.93,1317
"78057","STANDARD","Moore","TX","Frio County",29.05,-99.01,868
"78058","STANDARD","Mountain Home","TX","Kerr County",30.16,-99.36,762
"78059","STANDARD","Natalia","TX","Medina County",29.19,-98.85,4297
"78060","STANDARD","Oakville","TX","Live Oak County",28.41,-98.06,49
"78061","STANDARD","Pearsall","TX","Frio County",28.88,-99.09,7956
"78063","STANDARD","Pipe Creek","TX","Bandera County",29.71,-98.93,7571
"78064","STANDARD","Pleasanton","TX","Atascosa County",28.96,-98.49,12049
"78065","STANDARD","Poteet","TX","Atascosa County",29.03,-98.57,8804
"78066","STANDARD","Rio Medina","TX","Medina County",29.43,-98.88,698
"78067","STANDARD","San Ygnacio","TX","Zapata County",27.19,-99.32,735
"78069","STANDARD","Somerset","TX","Atascosa County",29.22,-98.65,4374
"78070","STANDARD","Spring Branch","TX","Comal County",29.86,-98.4,12151
"78071","STANDARD","Three Rivers","TX","Live Oak County",28.46,-98.17,2918
"78072","STANDARD","Tilden","TX","McMullen County",28.45,-98.54,619
"78073","STANDARD","Von Ormy","TX","Bexar County",29.25,-98.62,6856
"78075","STANDARD","Whitsett","TX","Live Oak County",28.62,-98.27,132
"78076","STANDARD","Zapata","TX","Zapata County",26.89,-99.26,9857
"78101","STANDARD","Adkins","TX","Bexar County",29.37,-98.25,7675
"78102","STANDARD","Beeville","TX","Bee County",28.4,-97.74,15280
"78108","STANDARD","Cibolo","TX","Guadalupe County",29.57,-98.23,18501
"78109","STANDARD","Converse","TX","Bexar County",29.51,-98.31,28073
"78112","STANDARD","Elmendorf","TX","Bexar County",29.25,-98.33,6754
"78113","STANDARD","Falls City","TX","Karnes County",28.98,-98.02,2006
"78114","STANDARD","Floresville","TX","Wilson County",29.13,-98.15,16610
"78116","STANDARD","Gillett","TX","Karnes County",29.13,-97.8,278
"78117","STANDARD","Hobson","TX","Karnes County",28.93,-97.98,571
"78118","STANDARD","Karnes City","TX","Karnes County",28.88,-97.9,3540
"78119","STANDARD","Kenedy","TX","Karnes County",28.81,-97.85,4184
"78121","STANDARD","La Vernia","TX","Wilson County",29.35,-98.11,9765
"78122","STANDARD","Leesville","TX","Gonzales County",29.39,-97.77,395
"78123","STANDARD","Mc Queeney","TX","Guadalupe County",29.59,-98.04,2398
"78124","STANDARD","Marion","TX","Guadalupe County",29.57,-98.14,5339
"78130","STANDARD","New Braunfels","TX","Comal County",29.7,-98.11,48710
"78132","STANDARD","New Braunfels","TX","Comal County",29.7,-98.11,15747
"78133","STANDARD","Canyon Lake","TX","Comal County",29.87,-98.26,13351
"78140","STANDARD","Nixon","TX","Gonzales County",29.26,-97.76,2809
"78141","STANDARD","Nordheim","TX","De Witt County",28.92,-97.61,509
"78148","STANDARD","Universal City","TX","Bexar County",29.55,-98.3,18015
"78150","STANDARD","Randolph A F B","TX","Bexar County",29.55,-98.3,553
"78151","STANDARD","Runge","TX","Karnes County",28.88,-97.71,1273
"78152","STANDARD","Saint Hedwig","TX","Bexar County",29.42,-98.21,2364
"78154","STANDARD","Schertz","TX","Guadalupe County",29.55,-98.26,26493
"78155","STANDARD","Seguin","TX","Guadalupe County",29.57,-97.96,37586
"78159","STANDARD","Smiley","TX","Gonzales County",29.27,-97.63,769
"78160","STANDARD","Stockdale","TX","Wilson County",29.23,-97.96,3368
"78161","STANDARD","Sutherland Springs","TX","Wilson County",29.26,-98.06,817
"78163","STANDARD","Bulverde","TX","Comal County",29.73,-98.45,9587
"78164","STANDARD","Yorktown","TX","De Witt County",28.98,-97.5,3479
"78201","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,37956
"78202","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,11809
"78203","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,4740
"78204","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,9627
"78205","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,1158
"78207","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,39723
"78208","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,3316
"78209","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,34168
"78210","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,31314
"78211","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,27186
"78212","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,22568
"78213","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,34713
"78214","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,20281
"78215","STANDARD","San Antonio","TX","Bexar County",29.45,-98.5,869
